ID,Name,Platform,Year_of_Release,Genre,Publisher
102,Battlefield 3,X360,2011,Shooter,Electronic Arts
103,Need for Speed Underground,PS2,2003,Racing,Electronic Arts
104,Just Dance,Wii,2009,Misc,Ubisoft
105,Battlefield 3,PS3,2011,Shooter,Electronic Arts
106,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks
107,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment
108,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo
109,Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo
110,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment
111,Mario Kart 8,WiiU,2014,Racing,Nintendo
112,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo
113,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo
114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts
115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts
116,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment
117,Just Dance 4,Wii,2012,Misc,Ubisoft
118,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios
119,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment
120,Zumba Fitness,Wii,2010,Sports,505 Games
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision
122,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment
123,FIFA 12,PS3,2011,Sports,Electronic Arts
124,Big Brain Academy,DS,2005,Misc,Nintendo
125,The Legend of Zelda,NES,1986,Action,Nintendo
126,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive
127,FIFA 14,PS3,2013,Sports,Electronic Arts
128,Assassin's Creed III,PS3,2012,Action,Ubisoft
129,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo
130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios
131,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks
132,Pokemon Emerald Version,GBA,2004,Role-Playing,Nintendo
133,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment
134,Pokemon Crystal Version,GB,2000,Role-Playing,Nintendo
135,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios
136,Red Dead Redemption,X360,2010,Action,Take-Two Interactive
137,Super Mario Sunshine,GC,2002,Platform,Nintendo
138,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom
139,World of Warcraft,PC,2004,Role-Playing,Activision
140,Driver,PS,1999,Action,GT Interactive
141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios
142,Kinect Sports,X360,2010,Sports,Microsoft Game Studios
143,Gears of War,X360,2006,Shooter,Microsoft Game Studios
144,FIFA 15,PS4,2014,Sports,Electronic Arts
145,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment
146,Sonic the Hedgehog 2,GEN,1992,Platform,Sega
147,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment
148,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment
149,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix
150,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe
151,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment
152,Resident Evil 2,PS,1998,Action,Virgin Interactive
153,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo
154,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment
155,Destiny,PS4,2014,Shooter,Activision
156,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts
157,Cooking Mama,DS,2006,Simulation,505 Games
158,Tetris,NES,1988,Puzzle,Nintendo
159,Super Smash Bros.,N64,1999,Fighting,Nintendo
160,Assassin's Creed II,PS3,2009,Action,Ubisoft
161,Assassin's Creed,X360,2007,Adventure,Ubisoft
162,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios
163,Super Mario Advance,GBA,2001,Platform,Nintendo
164,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom
165,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment
166,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive
167,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo
168,Super Mario World,GBA,2001,Platform,Nintendo
169,Pokemon Stadium,N64,1999,Strategy,Nintendo
170,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive
171,Call of Duty: World at War,PS3,2008,Shooter,Activision
172,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment
173,Dr. Mario,GB,1989,Puzzle,Nintendo
174,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix
175,Pokemon Pinball,GB,1999,Misc,Nintendo
176,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft
177,Assassin's Creed III,X360,2012,Action,Ubisoft
178,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts
179,Donkey Kong 64,N64,1999,Platform,Nintendo
180,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision
181,Minecraft,PS3,2014,Misc,Sony Computer Entertainment
182,Assassin's Creed II,X360,2009,Action,Ubisoft
183,Tomb Raider II,PS,1997,Action,Eidos Interactive
184,Madden NFL 2004,PS2,N/A,Sports,Electronic Arts
185,Tomodachi Life,3DS,2013,Simulation,Nintendo
186,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo
187,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix
188,Super Mario Bros. 3,GBA,2003,Platform,Nintendo
189,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo
190,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo
191,FIFA Soccer 13,X360,2012,Action,Electronic Arts
192,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo
193,Diablo III,PC,2012,Role-Playing,Activision
194,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts
195,Kirby's Dream Land,GB,1992,Platform,Nintendo
196,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios
197,Guitar Hero II,PS2,2006,Misc,RedOctane
198,Fable III,X360,2010,Role-Playing,Microsoft Game Studios
199,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega
200,Resident Evil 5,PS3,2009,Action,Capcom
201,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo
202,Super Mario Bros.,GB,1999,Platform,Nintendo
203,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts
204,Resident Evil,PS,1996,Action,Virgin Interactive
205,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive
206,Tony Hawk's Pro Skater,PS,1999,Sports,Activision
207,Warzone 2100,PS,1999,Strategy,Eidos Interactive
208,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment
209,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision
210,Link's Crossbow Training,Wii,2007,Shooter,Nintendo
211,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo
212,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks
213,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment
214,Madden NFL 06,PS2,2005,Sports,Electronic Arts
215,Diddy Kong Racing,N64,1997,Racing,Nintendo
216,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom
217,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo
218,Dr. Mario,NES,1990,Puzzle,Nintendo
219,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision
220,Assassin's Creed,PS3,2007,Adventure,Ubisoft
221,God of War III,PS3,2010,Action,Sony Computer Entertainment
222,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment
223,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts
224,Driver 2,PS,2000,Action,Atari
225,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment
226,The Last of Us,PS4,2014,Action,Sony Computer Entertainment
227,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games
228,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision
229,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts
230,Tomb Raider,PS,1996,Action,Eidos Interactive
231,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo
232,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment
233,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo
234,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo
235,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision
236,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo
237,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios
238,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega
239,Madden NFL 2005,PS2,2004,Sports,Electronic Arts
240,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision
241,Pitfall!,2600,1981,Platform,Activision
242,Madden NFL 07,PS2,2006,Sports,Electronic Arts
243,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios
244,Spider-Man: The Movie,PS2,2002,Action,Activision
245,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation
246,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision
247,God of War,PS2,2005,Action,Sony Computer Entertainment
248,Splatoon,WiiU,2015,Shooter,Nintendo
249,Nintendo Land,WiiU,2012,Misc,Nintendo
250,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision
251,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment
252,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive
253,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo
254,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts
255,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft
256,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision
257,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment
258,Sonic the Hedgehog,GEN,1991,Platform,Sega
259,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix
260,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo
261,Super Mario 3D World,WiiU,2013,Platform,Nintendo
262,Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe
263,Asteroids,2600,1980,Shooter,Atari
264,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision
265,FIFA 15,PS3,2014,Sports,Electronic Arts
266,Fable II,X360,2008,Role-Playing,Microsoft Game Studios
267,Namco Museum,GBA,2001,Misc,Namco Bandai Games
268,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive
269,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment
270,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft
271,Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks
272,FIFA 14,X360,2013,Sports,Electronic Arts
273,Daxter,PSP,2006,Platform,Sony Computer Entertainment
274,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision
275,FIFA Soccer 06,PS2,2005,Sports,Electronic Arts
276,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment
277,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment
278,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft
279,FIFA 12,X360,2011,Sports,Electronic Arts
280,Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom
281,Street Fighter IV,PS3,2009,Fighting,Capcom
282,Excitebike,NES,1984,Racing,Nintendo
283,Frogger,PS,1997,Action,Hasbro Interactive
284,Madden NFL 2003,PS2,2002,Sports,Electronic Arts
285,Half-Life,PC,1997,Shooter,Vivendi Games
286,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo
287,FIFA Soccer 07,PS2,2006,Sports,Electronic Arts
288,Street Fighter II Turbo,SNES,1992,Fighting,Capcom
289,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision
290,Battlefield 1,PS4,2016,Shooter,Electronic Arts
291,God of War II,PS2,2007,Action,Sony Computer Entertainment
292,World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment
293,Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks
294,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios
295,Carnival Games,Wii,2007,Misc,Take-Two Interactive
296,Watch Dogs,PS4,2014,Action,Ubisoft
297,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment
298,Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games
299,Far Cry 4,PS4,2014,Shooter,Ubisoft
300,Star Fox 64,N64,1997,Shooter,Nintendo
301,Golf,NES,1984,Sports,Nintendo
302,Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games
303,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts
304,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games
305,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft
306,Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment
307,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo
308,Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks
309,Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo
310,Donkey Kong Land,GB,1994,Platform,Nintendo
311,EA Sports Active,Wii,2009,Sports,Electronic Arts
312,Tony Hawk's Underground,PS2,2003,Sports,Activision
313,Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo
314,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks
315,NBA 2K16,PS4,2015,Sports,Take-Two Interactive
316,Tekken 5,PS2,2005,Fighting,Namco Bandai Games
317,Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation
318,MotorStorm,PS3,2006,Racing,Sony Computer Entertainment
319,Nintendogs + cats,3DS,2011,Simulation,Nintendo
320,World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment
321,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment
322,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment
323,The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo
324,Call of Duty: Ghosts,PS4,2013,Shooter,Activision
325,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo
326,Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft
327,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo
328,Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive
329,Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo
330,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision
331,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts
332,Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment
333,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts
334,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega
335,Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive
336,Super Paper Mario,Wii,2007,Platform,Nintendo
337,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment
338,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft
339,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts
340,Pokemon Trading Card Game,GB,1998,Strategy,Nintendo
341,Friend Collection,DS,2009,Misc,Nintendo
342,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision
343,Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts
344,MySims,DS,2007,Simulation,Electronic Arts
345,Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive
346,Banjo-Kazooie,N64,1998,Platform,Nintendo
347,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment
348,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment
349,Pokemon Snap,N64,1999,Simulation,Nintendo
350,Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment
351,Resident Evil 4,PS2,2005,Action,Capcom
352,Guitar Hero: World Tour,Wii,2008,Misc,Activision
353,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts
354,Star Wars: Battlefront,PS2,2004,Shooter,LucasArts
355,Doom II: Hell on Earth,PC,1994,Shooter,Virgin Interactive
356,The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts
357,Luigi's Mansion,GC,2001,Action,Nintendo
358,Battlefield 4,PS4,2013,Shooter,Electronic Arts
359,Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts
360,Just Dance 2014,Wii,2013,Misc,Ubisoft
361,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games
362,WWF SmackDown!,PS,2000,Fighting,THQ
363,Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive
364,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive
365,The Getaway,PS2,2002,Action,Sony Computer Entertainment
366,Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Eidos Interactive
367,James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts
368,LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive
369,Rugrats in Paris: The Movie,PS,2000,Action,THQ
370,FIFA Soccer 11,X360,2010,Sports,Electronic Arts
371,Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment
372,Left 4 Dead,X360,2008,Shooter,Electronic Arts
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo
374,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft
375,Kung Fu,NES,1985,Action,Nintendo
376,Resident Evil 5,X360,2009,Action,Capcom
377,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft
378,FIFA Soccer 2004,PS2,N/A,Sports,Electronic Arts
379,Battlefield 4,PS3,2013,Shooter,Electronic Arts
380,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive
381,Battlefield 4,X360,2013,Shooter,Electronic Arts
382,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts
383,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega
384,Guitar Hero: On Tour,DS,2008,Misc,Activision
385,Clubhouse Games,DS,2006,Misc,Nintendo
386,Monster Hunter 4,3DS,2013,Role-Playing,Capcom
387,Borderlands,X360,2009,Shooter,Take-Two Interactive
388,Tekken 4,PS2,2002,Fighting,Namco Bandai Games
389,Final Fantasy III,SNES,1994,Role-Playing,SquareSoft
390,Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive
391,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment
392,Spider-Man 2,PS2,2004,Action,Activision
393,F-1 Race,GB,1990,Racing,Nintendo
394,FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts
395,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment
396,Crash Bash,PS,2000,Misc,Sony Computer Entertainment
397,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft
398,LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment
399,Destiny,XOne,2014,Shooter,Activision
400,WWF War Zone,PS,1998,Fighting,Acclaim Entertainment
401,The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo
402,Far Cry 3,PS3,2012,Shooter,Ubisoft
403,Rugrats: Search For Reptar,PS,1998,Adventure,THQ
404,English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo
405,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts
406,Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment
407,Monster Hunter X,3DS,2015,Action,Capcom
408,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts
409,The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo
410,Max Payne,PS2,2001,Shooter,Take-Two Interactive
411,Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft
412,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts
413,Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo
414,Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios
415,True Crime: Streets of LA,PS2,2003,Action,Activision
416,Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo
417,Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment
418,FIFA 16,XOne,2015,Sports,Electronic Arts
419,Wii Music,Wii,2008,Misc,Nintendo
420,Tekken,PS,1995,Fighting,Sony Computer Entertainment
421,Madden NFL 16,PS4,2015,Sports,Electronic Arts
422,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment
423,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios
424,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts
