ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
112,4.41,1.04,1.39,0.22,7.07
113,4.12,1.77,0.87,0.19,6.95
114,2.71,3.02,0.08,1.09,6.9
115,2.93,2.75,0.17,0.99,6.83
116,3.23,2.35,0.94,0.3,6.82
117,4.05,2.16,0,0.55,6.76
118,4.15,1.9,0.06,0.64,6.75
119,2.77,2.75,0.19,1.03,6.74
120,3.45,2.59,0,0.66,6.71
121,3.11,2.26,0.28,1.03,6.68
122,3.27,2.2,0.21,0.98,6.66
123,0.84,4.3,0.11,1.39,6.65
124,1.66,2.75,1.6,0.62,6.62
125,3.74,0.93,1.69,0.14,6.51
126,2.79,2.53,0.17,0.99,6.49
127,0.78,4.24,0.07,1.37,6.47
128,2.64,2.52,0.16,1.12,6.45
129,3.17,1.79,1.03,0.46,6.44
130,4.98,1.3,0.08,0.07,6.43
131,2.55,2.6,0.25,1,6.41
132,2.57,1.58,2.06,0.21,6.41
133,3.64,1.2,1.49,0.07,6.4
134,2.55,1.56,1.29,0.99,6.39
135,4.34,1.34,0.06,0.61,6.34
136,3.7,1.95,0.09,0.58,6.32
137,4.01,1.26,0.87,0.17,6.31
138,2.47,0.83,2.87,0.12,6.3
139,0.08,6.21,0,0,6.29
140,3.11,2.8,0.02,0.33,6.27
141,4.05,1.59,0.07,0.5,6.21
142,3.92,1.73,0.03,0.51,6.19
143,3.54,1.88,0.07,0.6,6.09
144,0.8,4.33,0.05,0.9,6.08
145,2.45,2.01,0.87,0.72,6.05
146,4.47,1.2,0.16,0.19,6.03
147,3.18,1.83,0.78,0.24,6.03
148,2.63,1.71,0.83,0.82,5.99
149,1.88,0,2.33,1.74,5.95
150,2.41,2.18,0.28,0.99,5.87
151,2.8,1.98,0.17,0.87,5.82
152,1.88,1.47,2.02,0.45,5.82
153,0.63,0.67,4.35,0.15,5.78
154,2.26,1.89,1.36,0.23,5.74
155,2.49,2.07,0.16,0.92,5.64
156,3.57,1.55,0,0.51,5.64
157,3.07,1.91,0.07,0.57,5.63
158,2.97,0.69,1.81,0.11,5.58
159,2.95,0.6,1.97,0.04,5.55
160,2.54,1.93,0.21,0.86,5.55
161,3.28,1.64,0.07,0.56,5.54
162,2.99,1.9,0.1,0.5,5.49
163,3.14,1.24,0.91,0.2,5.49
164,0.47,0.55,4.13,0.34,5.48
165,2.71,1.85,0.11,0.81,5.48
166,2.81,2.19,0,0.47,5.48
167,2.62,1.64,0.99,0.23,5.47
168,3.21,1.11,0.95,0.2,5.46
169,3.18,1.24,0.94,0.09,5.45
170,2.07,2.29,0.24,0.82,5.42
171,2.73,1.83,0,0.83,5.39
172,1.85,2.5,0.19,0.85,5.38
173,2.18,0.96,2,0.2,5.34
174,1.74,1.21,1.87,0.51,5.33
175,3.02,1.12,1.01,0.16,5.31
176,1.62,0.77,2.78,0.14,5.3
177,3.13,1.69,0.03,0.44,5.29
178,1.92,1.08,2.11,0.17,5.29
179,3.33,0.79,1.09,0.06,5.27
180,3.22,1.55,0.01,0.48,5.27
181,2.03,2.37,0,0.87,5.26
182,3.11,1.55,0.08,0.51,5.26
183,2.3,2.46,0.2,0.28,5.24
184,4.26,0.26,0.01,0.71,5.23
185,0.97,2.11,1.9,0.24,5.23
186,2.3,1.34,1.27,0.32,5.22
187,0.65,0.75,3.61,0.2,5.21
188,2.93,1.25,0.83,0.2,5.2
189,1.21,2.43,1.03,0.52,5.19
190,2.49,0.98,1.57,0.15,5.19
191,1.09,3.47,0.03,0.57,5.16
192,2.1,0.74,2.2,0.11,5.15
193,2.44,2.16,0,0.54,5.14
194,1.98,2.23,0.13,0.8,5.13
195,2.71,0.61,1.7,0.11,5.13
196,3.22,1.69,0,0.2,5.12
197,3.81,0.63,0,0.68,5.12
198,3.59,1.08,0.05,0.38,5.1
199,1.63,2.45,0.44,0.57,5.09
200,1.96,1.41,1.08,0.64,5.09
201,1.85,1.8,0.95,0.48,5.08
202,3.4,1.3,0.15,0.22,5.07
203,0.61,3.28,0.06,1.12,5.07
204,2.05,1.16,1.11,0.73,5.05
205,1.7,1.99,0.16,1.18,5.03
206,3.42,1.38,0.02,0.2,5.02
207,2.79,1.89,0,0.33,5.01
208,3.36,1.36,0.07,0.21,5
209,3.49,0.01,0.01,1.48,4.98
210,3.05,1.17,0.29,0.46,4.98
211,1.83,1.19,1.54,0.37,4.93
212,3.4,0.99,0.09,0.45,4.93
213,2.31,1.72,0.12,0.77,4.92
214,3.98,0.26,0.01,0.66,4.91
215,2.91,0.99,0.89,0.1,4.88
216,0,0,4.87,0,4.87
217,2.6,1.08,0.81,0.38,4.87
218,2.62,0.6,1.52,0.1,4.85
219,2.57,1.68,0,0.58,4.84
220,1.91,2,0.09,0.82,4.82
221,2.74,1.33,0.12,0.61,4.8
222,2.57,1.57,0.44,0.21,4.79
223,2.83,1.48,0,0.45,4.76
224,2.36,2.1,0.02,0.25,4.73
225,2.99,1.27,0.04,0.42,4.73
226,1.88,2,0.07,0.77,4.71
227,1.73,2.19,0,0.79,4.7
228,3.05,1.41,0.02,0.2,4.68
229,1.94,1.95,0.08,0.7,4.67
230,2.29,1.97,0.13,0.24,4.63
231,1.82,1.12,1.32,0.36,4.62
232,2.07,1.71,0.08,0.76,4.62
233,2.42,0.91,1.15,0.13,4.61
234,2.6,0.99,0.89,0.13,4.6
235,3.04,1.11,0,0.43,4.6
236,1.8,1.39,1.11,0.29,4.59
237,2.08,1.97,0.06,0.46,4.57
238,1.87,1.96,0.22,0.48,4.53
239,4.18,0.26,0.01,0.08,4.53
240,3.19,0.91,0.01,0.42,4.53
241,4.21,0.24,0,0.05,4.5
242,3.63,0.24,0.01,0.61,4.49
243,2.78,1.27,0.03,0.41,4.48
244,2.71,1.51,0.03,0.23,4.48
245,0.2,0.14,4.1,0.02,4.47
246,1.61,2,0.15,0.71,4.46
247,2.71,1.29,0.02,0.43,4.45
248,1.54,1.18,1.46,0.26,4.43
249,2.52,1.11,0.46,0.33,4.42
250,2.66,1.29,0.01,0.46,4.41
251,0.1,2.39,1.05,0.86,4.39
252,2.82,1.03,0.13,0.4,4.38
253,2.19,0.5,1.61,0.08,4.38
254,2.03,1.79,0.08,0.47,4.37
255,2.64,1.33,0.01,0.39,4.36
256,1.56,1.93,0.19,0.68,4.36
257,1.74,1.72,0.14,0.75,4.34
258,3.03,0.91,0.26,0.13,4.34
259,2.2,0.58,1.38,0.17,4.33
260,2.09,1.31,0.62,0.31,4.33
261,2.11,1.16,0.73,0.32,4.32
262,1.48,2.02,0.14,0.68,4.32
263,4,0.26,0,0.05,4.31
264,2.77,1.11,0,0.4,4.29
265,0.58,3.02,0.04,0.64,4.28
266,2.51,1.24,0.11,0.41,4.27
267,3,1.11,0.05,0.07,4.24
268,2.24,1.31,0.07,0.61,4.23
269,1.46,0,0.83,1.93,4.23
270,1.41,2.01,0.1,0.7,4.22
271,2.51,1.32,0.01,0.38,4.22
272,0.92,2.89,0.01,0.4,4.22
273,2.45,1.01,0,0.75,4.21
274,1.7,2.27,0,0.23,4.21
275,0.78,2.55,0.04,0.84,4.21
276,0.88,2.3,0.2,0.83,4.2
277,1.28,1.82,0.57,0.52,4.19
278,2.25,1.47,0.04,0.43,4.19
279,0.84,2.78,0.02,0.53,4.18
280,3.38,0.44,0.31,0.04,4.17
281,2.03,1.04,0.58,0.52,4.16
282,2.04,0.48,1.57,0.07,4.16
283,3.79,0.27,0,0.11,4.16
284,3.36,0.21,0.01,0.56,4.14
285,4.03,0,0.09,0,4.12
286,1.65,0.61,1.76,0.09,4.12
287,0.71,2.48,0.03,0.89,4.11
288,1.42,0.51,2.1,0.07,4.1
289,2.57,1.52,0,0,4.09
290,1.1,2.15,0.21,0.61,4.08
291,2.32,0.04,0.04,1.67,4.07
292,0.12,2.26,0.9,0.77,4.06
293,2.66,1.03,0.04,0.33,4.05
294,2.35,1.27,0.03,0.41,4.05
295,2.12,1.47,0.05,0.42,4.05
296,1.4,1.9,0.11,0.64,4.05
297,2.28,1.55,0.16,0.06,4.05
298,1.68,1.51,0.51,0.35,4.05
299,1.13,2.18,0.1,0.63,4.04
300,2.78,0.58,0.64,0.04,4.03
301,1.22,0.28,2.46,0.04,4.01
302,2.08,1.35,0,0.54,3.98
303,2.67,0.87,0.05,0.38,3.97
304,1.02,2.13,0.23,0.59,3.97
305,1.19,2.07,0.08,0.62,3.96
306,1.53,1.69,0.1,0.64,3.95
307,2.03,1.16,0.37,0.38,3.95
308,2.15,1.13,0.07,0.59,3.94
309,0.9,1.76,0.92,0.37,3.94
310,1.97,0.76,1.07,0.11,3.91
311,2.09,1.35,0.06,0.4,3.9
312,2.29,1.17,0.01,0.42,3.9
313,0.68,0.48,2.62,0.11,3.89
314,1.16,2.12,0,0.6,3.88
315,2.49,0.66,0.03,0.69,3.88
316,0.93,1.94,0.31,0.7,3.87
317,0.1,0,3.77,0,3.87
318,1.53,1.6,0.06,0.67,3.87
319,1.44,1.41,0.73,0.27,3.85
320,0.16,1.89,1.12,0.68,3.85
321,2.13,1.12,0.1,0.5,3.84
322,2.12,1.44,0.22,0.06,3.84
323,2.21,0.96,0.54,0.13,3.83
324,1.78,1.43,0.05,0.57,3.83
325,0.86,1.56,1.05,0.35,3.83
326,1.35,1.7,0.15,0.6,3.8
327,1.05,1.91,0.41,0.42,3.79
328,1.82,1.24,0.47,0.25,3.77
329,2.23,0.47,0.81,0.26,3.77
330,2.4,1.01,0,0.36,3.76
331,2.03,1.56,0,0.17,3.76
332,1.4,1.39,0.1,0.86,3.74
333,1.37,2,0.14,0.22,3.73
334,1.12,1.87,0.27,0.45,3.72
335,1.3,0.77,1.54,0.11,3.72
336,1.95,0.86,0.59,0.31,3.71
337,1.93,1.58,0,0.19,3.71
338,1.33,1.68,0.13,0.57,3.71
339,0.58,2.48,0.04,0.59,3.7
340,1.49,0.73,1.38,0.1,3.7
341,0,0,3.67,0,3.67
342,2.13,1.18,0.01,0.35,3.67
343,2.04,1.28,0.02,0.32,3.66
344,1.58,1.59,0.08,0.41,3.66
345,1.65,1.21,0,0.79,3.65
346,1.87,1.13,0.55,0.1,3.65
347,2.53,0.81,0.06,0.24,3.65
348,2.08,1.09,0.15,0.33,3.64
349,2.23,0.68,0.66,0.06,3.63
350,0.05,0,0.64,2.93,3.63
351,2.08,0.83,0.46,0.25,3.62
352,2.32,0.96,0,0.34,3.62
353,0.6,2.45,0.05,0.52,3.62
354,1.93,1.22,0.03,0.44,3.61
355,2.05,1.4,0,0.16,3.61
356,2.02,1.17,0,0.42,3.61
357,2.38,0.67,0.46,0.1,3.6
358,1.35,1.55,0.17,0.51,3.59
359,2.18,1.02,0.03,0.37,3.59
360,1.88,1.39,0,0.31,3.59
361,1.6,1.49,0.1,0.39,3.58
362,2.01,1.35,0.06,0.16,3.58
363,1.57,1.79,0,0.2,3.56
364,1.56,1.4,0.07,0.5,3.54
365,1.23,1.77,0.05,0.49,3.54
366,1.66,1.58,0.12,0.18,3.54
367,1.9,1.13,0.1,0.41,3.53
368,1.98,1.14,0.01,0.41,3.53
369,1.96,1.33,0,0.23,3.52
370,0.71,2.39,0.02,0.4,3.52
371,2.14,1.21,0.01,0.17,3.52
372,2.66,0.49,0.05,0.3,3.51
373,1.17,0.5,1.75,0.08,3.51
374,2.27,0.9,0,0.33,3.5
375,1.64,0.38,1.42,0.06,3.5
376,2.11,0.93,0.12,0.34,3.5
377,2.85,0.38,0.03,0.24,3.49
378,0.59,2.36,0.04,0.51,3.49
379,1.3,1.42,0.27,0.5,3.49
380,2.2,0.95,0.02,0.31,3.48
381,2.15,1.01,0.02,0.31,3.48
382,2.1,1.01,0.04,0.32,3.47
383,1.21,1.62,0.27,0.37,3.46
384,2.1,1.01,0.01,0.35,3.46
385,0.59,1.79,0.73,0.34,3.45
386,0,0,3.44,0,3.44
387,2.4,0.71,0.03,0.29,3.44
388,1.55,1.27,0.33,0.29,3.44
389,0.86,0,2.55,0.02,3.42
390,1.13,2.07,0,0.22,3.42
391,1.09,1.36,0.49,0.48,3.41
392,1.75,1.2,0.02,0.43,3.41
393,1.73,0.69,0.59,0.4,3.41
394,0.46,2.28,0.05,0.61,3.4
395,1.83,1.05,0.06,0.46,3.39
396,1.56,1.47,0.19,0.17,3.39
397,0.81,1.99,0.07,0.52,3.39
398,2.04,1.02,0,0.32,3.38
399,2.14,0.92,0,0.31,3.37
400,2.47,0.76,0,0.13,3.36
401,1.9,0.67,0.73,0.06,3.36
402,0.88,1.7,0.1,0.67,3.35
403,1.63,1.53,0,0.18,3.34
404,0,0.99,2.32,0.02,3.33
405,1.45,1.29,0.12,0.46,3.33
406,1.44,1.01,0.57,0.3,3.33
407,0.27,0.21,2.79,0.05,3.32
408,1.47,1.39,0.03,0.43,3.32
409,1.4,0.91,0.74,0.26,3.31
410,1.99,1.05,0.05,0.22,3.31
411,1.9,1.11,0.01,0.29,3.3
412,1.5,1.28,0.05,0.46,3.28
413,0.09,0,3.18,0.01,3.28
414,2.61,0.33,0,0.34,3.28
415,1.89,1.05,0.02,0.31,3.27
416,0.6,1.57,0.82,0.27,3.26
417,0.5,1.58,0.31,0.87,3.25
418,0.89,2.12,0,0.24,3.25
419,1.35,1.11,0.46,0.32,3.25
420,0.95,1.3,0.77,0.22,3.24
421,2.34,0.3,0,0.6,3.24
422,0.72,1.67,0.4,0.44,3.23
423,1.91,1,0.03,0.29,3.23
424,1.72,1.33,0,0.16,3.21
425,1.18,0.89,0.94,0.2,3.21
426,1.76,1.21,0.07,0.16,3.2
427,0.73,0.1,2.35,0.02,3.2
428,2.26,0.72,0.12,0.1,3.2
429,0,0,3.19,0,3.19
430,1.48,1,0.04,0.66,3.18
431,1.78,1.12,0.09,0.19,3.18
432,1.35,0.59,0.8,0.43,3.18
433,2.15,0.76,0.01,0.26,3.17
434,1.27,1.29,0.12,0.49,3.17
435,2.06,0.56,0.38,0.17,3.17
436,1.92,0.16,0.99,0.09,3.15
437,0.68,0,0,2.46,3.14
438,1.87,0.97,0,0.3,3.14
439,1.7,1.25,0.02,0.16,3.13
440,1.06,1.09,0.76,0.22,3.13
441,2.14,0.86,0,0.13,3.12
442,2.31,0.62,0.14,0.04,3.12
443,1.21,1.56,0.06,0.29,3.12
444,0.08,0,3.03,0.01,3.12
445,0.55,0.5,1.93,0.13,3.11
446,1.52,1.03,0.1,0.46,3.11
447,0.9,1,1.03,0.17,3.11
448,1.69,0.85,0.14,0.43,3.1
449,1.4,1.01,0.46,0.23,3.1
450,0.88,0.94,0.88,0.4,3.1
451,1.99,0.81,0.03,0.27,3.1
452,2.17,0.28,0.55,0.08,3.09
453,2.5,0.16,0.01,0.42,3.08
454,1.92,0.45,0.64,0.07,3.08
455,1.57,0.62,0.55,0.34,3.07
456,1.72,1.21,0,0.14,3.07
457,1.8,0.97,0,0.29,3.06
458,0.51,1.02,1.4,0.12,3.05
459,1,1.82,0,0.23,3.05
460,1.89,0.88,0.04,0.25,3.05
461,1.75,1.01,0,0.29,3.05
462,1.91,0.84,0,0.29,3.04
463,1.94,0.84,0.03,0.24,3.04
464,1.29,1.21,0.06,0.47,3.03
465,1.54,1.33,0,0.16,3.03
466,1.94,0.79,0.02,0.28,3.03
467,1.85,1.04,0,0.13,3.02
468,2.03,0.47,0.45,0.07,3.02
469,1.45,1.13,0.07,0.38,3.02
470,0.61,1.85,0.11,0.44,3.01
471,1.4,1.06,0.08,0.47,3.01
472,1.38,1.32,0.02,0.28,3
473,2.04,0.63,0.12,0.22,3
474,2.6,0.2,0.01,0.19,3
475,1.15,0,0.76,1.09,3
476,1.57,1.02,0,0.41,3
477,1.61,0.51,0.8,0.07,2.99
478,1.67,1.18,0,0.13,2.99
479,0.12,1.26,1.16,0.45,2.99
480,1.36,0.86,0.64,0.13,2.99
481,1.58,1.01,0,0.38,2.96
482,1.01,1.43,0.05,0.47,2.96
483,1.04,1.37,0.06,0.49,2.96
484,1.36,1.15,0.04,0.41,2.96
485,1.84,0.8,0.04,0.27,2.95
486,1.33,1.1,0.08,0.44,2.95
487,1.98,0.58,0.34,0.04,2.94
488,2.22,0.51,0.06,0.15,2.94
489,1.45,1.11,0.04,0.33,2.94
490,2.07,0.77,0.05,0.05,2.94
491,1.82,0.7,0.15,0.26,2.94
492,1.76,0.68,0.12,0.37,2.93
493,1.55,0.04,1.19,0.15,2.92
494,1.88,0.77,0,0.27,2.92
495,0.79,1.92,0,0.21,2.92
496,1.75,0.45,0.62,0.09,2.91
497,1.83,0.79,0.03,0.27,2.91
498,1.54,1.14,0,0.22,2.9
499,0.08,1.24,1.13,0.45,2.9
500,1.75,0.86,0,0.28,2.89
501,0.99,0.32,1.38,0.2,2.89
502,1.41,1.12,0.05,0.3,2.89
503,1.51,1.12,0.01,0.24,2.89
504,0.86,1.04,0.73,0.26,2.89
505,2.03,0.72,0.02,0.11,2.88
506,1.3,1.26,0,0.31,2.87
507,0.09,2.43,0.12,0.22,2.87
508,2.53,0.15,0,0.17,2.86
509,2.09,0.63,0.03,0.11,2.86
510,1.07,1.31,0.06,0.42,2.85
511,1.37,1.34,0,0.14,2.85
512,1.37,0.51,0.89,0.07,2.85
513,1.29,0.53,0.98,0.05,2.85
514,1.98,0.53,0,0.34,2.84
515,2.52,0.09,0,0.22,2.83
516,1.32,1.08,0.04,0.39,2.83
517,1.65,0.85,0.05,0.28,2.83
518,1.96,0.67,0.1,0.09,2.82
519,1.87,0.55,0.11,0.29,2.82
520,1.59,1.05,0.04,0.14,2.82
521,1.51,1.03,0,0.27,2.81
522,0.02,2.79,0,0,2.81
523,1.28,1.04,0.07,0.42,2.81
524,0.71,1.46,0.06,0.58,2.81
525,1.32,1.19,0,0.3,2.8
526,1.32,1.06,0.04,0.38,2.8
527,0.29,0.2,2.13,0.18,2.79
528,1.96,0.72,0,0.11,2.79
529,1.19,1.15,0.04,0.41,2.79
530,1.28,0.98,0.07,0.46,2.79
531,0,0,2.78,0.01,2.79
532,1.98,0.7,0,0.11,2.79
533,0.46,0.29,1.96,0.07,2.79
534,2.19,0.22,0,0.38,2.79
535,1.68,0.74,0,0.36,2.78
536,1.44,0.83,0.26,0.25,2.78
537,1.05,1.23,0.03,0.47,2.78
538,1.35,1.13,0,0.3,2.78
539,0.89,1.43,0,0.46,2.78
540,1.5,0.8,0,0.48,2.78
541,1.41,1.12,0,0.24,2.77
542,1.45,0.86,0.09,0.38,2.77
543,1.74,0.77,0,0.26,2.77
544,1.61,0.9,0,0.25,2.76
545,1.45,0.07,1.1,0.15,2.76
546,1.25,1.14,0.07,0.3,2.76
547,2.56,0.17,0,0.03,2.76
548,1.43,0.54,0.71,0.07,2.75
549,1.2,0.97,0.17,0.42,2.75
550,1.02,0.36,1.13,0.23,2.73
551,1.33,0.31,1.04,0.05,2.73
552,1.21,1.19,0.04,0.29,2.73
553,0.41,1.84,0.05,0.4,2.71
554,1.75,0.52,0.33,0.1,2.7
555,0.99,0.48,1.09,0.14,2.7
556,1.25,0.53,0.87,0.05,2.7
557,1.52,0.92,0.02,0.24,2.7
558,1.49,0.92,0.02,0.27,2.7
559,2.42,0.11,0,0.16,2.69
560,1.85,0.64,0.01,0.19,2.69
561,0.89,1.33,0.08,0.39,2.69
562,2.38,0.12,0,0.18,2.69
563,1.23,1.11,0,0.34,2.68
564,0,0,2.68,0,2.68
565,1.95,0.63,0,0.09,2.67
566,1.63,0.51,0.35,0.18,2.67
567,0.28,1.39,0.68,0.32,2.67
568,1.48,0.92,0.01,0.26,2.67
569,1.44,1.09,0,0.14,2.67
570,1.99,0.58,0,0.09,2.66
571,1.78,0.63,0,0.25,2.66
572,0.43,2.05,0,0.17,2.65
573,1.59,0.8,0,0.26,2.65
574,1.15,1.11,0,0.4,2.65
575,0,0,2.65,0,2.65
576,0.69,1.4,0.04,0.52,2.65
577,2,0.5,0.12,0.03,2.65
578,0.86,1.11,0.01,0.66,2.65
579,0.78,0.73,0.89,0.23,2.63
580,2,0.47,0.02,0.14,2.63
581,1.47,0.93,0,0.24,2.63
582,2.15,0.12,0,0.36,2.62
583,1.54,0.8,0.04,0.24,2.62
584,2.31,0.14,0.01,0.16,2.62
585,0.76,1.09,0.12,0.64,2.62
586,0.59,1.79,0.01,0.23,2.62
587,1.56,0.8,0.04,0.21,2.61
588,0.9,1.22,0.04,0.44,2.61
589,1.86,0.55,0.11,0.08,2.6
590,1.7,0.44,0.06,0.4,2.6
591,2.03,0.21,0,0.35,2.59
592,1.05,1.05,0.24,0.24,2.58
593,0.48,1.63,0.04,0.43,2.58
594,0.62,0.82,0.96,0.18,2.58
595,1.4,0.88,0.03,0.26,2.58
596,1.53,0.81,0,0.24,2.57
597,1.31,0.74,0.31,0.22,2.57
598,2.14,0.08,0,0.35,2.57
599,0.37,0.27,1.75,0.18,2.57
600,0.93,1.1,0.08,0.45,2.56
601,0.99,0.52,0.92,0.14,2.56
602,1.7,0.59,0.21,0.07,2.56
603,0.15,0,2.41,0,2.56
604,1.04,1.22,0.03,0.27,2.56
605,2.11,0.22,0,0.23,2.56
606,1.76,0.55,0.03,0.22,2.56
607,1.21,0.57,0.7,0.07,2.54
608,0.64,1.22,0.01,0.67,2.54
609,2.21,0.12,0,0.2,2.53
610,2.36,0.14,0,0.03,2.53
611,1.13,1.12,0.06,0.22,2.52
612,0.26,1.65,0.33,0.28,2.52
613,2.1,0.19,0,0.23,2.52
614,1.55,0.75,0.16,0.06,2.52
615,1.48,0.83,0,0.21,2.52
616,0.49,0,0.52,1.51,2.52
617,1.11,0.85,0.29,0.25,2.5
618,0.13,0.07,0.26,2.05,2.5
619,1.28,0.14,1.08,0.01,2.5
620,2.29,0.02,0,0.19,2.5
621,1.84,0.56,0,0.09,2.49
622,1.81,0.52,0,0.15,2.49
623,1.47,0.77,0,0.24,2.48
624,1.03,0.81,0.26,0.38,2.48
625,1.15,1.14,0.06,0.13,2.48
626,1.13,0.36,0.92,0.07,2.47
627,1.38,0.84,0,0.25,2.47
628,1.93,0.33,0,0.21,2.47
629,1.73,0.43,0.05,0.27,2.47
630,0.86,1.04,0.18,0.38,2.47
631,1.15,0.84,0.1,0.38,2.46
632,1.47,0.54,0.01,0.43,2.45
633,0,0,2.43,0.02,2.45
634,0.93,0.12,1.34,0.06,2.45
635,1.56,0.53,0.05,0.31,2.45
636,2.12,0.25,0,0.07,2.44
637,1.07,1.19,0,0.18,2.43
638,1.52,0.82,0,0.1,2.43
639,1.28,0.93,0,0.22,2.43
640,0.5,1.5,0.05,0.37,2.43
641,1.46,0.74,0,0.22,2.42
642,2.08,0.08,0,0.26,2.42
643,1.27,0.32,0.78,0.05,2.42
644,1.26,0.61,0.46,0.08,2.42
645,1.56,0.6,0.02,0.23,2.42
646,1.65,0.57,0,0.2,2.42
647,0.6,1.26,0.08,0.48,2.42
648,0.87,0.97,0,0.58,2.42
649,1.63,0.22,0.51,0.06,2.41
